Toxic Release Inventory Chemicals
"Chemical Name","CAS Registry Number (or EDF Substance ID)"
"ABAMECTIN","71751-41-2"
"ACEPHATE","30560-19-1"
"ACETALDEHYDE","75-07-0"
"ACETAMIDE","60-35-5"
"ACETONITRILE","75-05-8"
"ACETOPHENONE","98-86-2"
"2-ACETYLAMINOFLUORENE","53-96-3"
"ACIFLUORFEN, SODIUM SALT","62476-59-9"
"ACROLEIN","107-02-8"
"ACRYLAMIDE","79-06-1"
"ACRYLIC ACID","79-10-7"
"ACRYLONITRILE","107-13-1"
"ALACHLOR","15972-60-8"
"ALDICARB","116-06-3"
"ALDRIN","309-00-2"
"ALLYL ALCOHOL","107-18-6"
"ALLYL AMINE","107-11-9"
"ALLYL CHLORIDE","107-05-1"
"ALPHA-LINDANE","319-84-6"
"ALPHA-NAPHTHYLAMINE","134-32-7"
"ALUMINUM","7429-90-5"
"ALUMINUM OXIDE (FIBROUS FORMS)","1344-28-1"
"ALUMINUM PHOSPHIDE","20859-73-8"
"AMETRYN","834-12-8"
"1-AMINO-2-METHYLANTHRAQUINONE","82-28-0"
"2-AMINOANTHRAQUINONE","117-79-3"
"4-AMINOAZOBENZENE","60-09-3"
"4-AMINOBIPHENYL","92-67-1"
"2-AMINONAPHTHALENE","91-59-8"
"AMITRAZ","33089-61-1"
"AMITROLE","61-82-5"
"AMMONIA","7664-41-7"
"ANILAZINE","101-05-3"
"ANILINE","62-53-3"
"ANTHRACENE","120-12-7"
"ANTIMONY","7440-36-0"
"ANTIMONY COMPOUNDS","ADQ500"
"ARSENIC","7440-38-2"
"ARSENIC (ORGANIC OR INORGANIC COMPOUNDS)","ARF750"
"ASBESTOS (FRIABLE)","1332-21-4"
"ATRAZINE","1912-24-9"
"AURAMINE","492-80-8"
"BARIUM","7440-39-3"
"BARIUM COMPOUNDS","BAK500"
"BENDIOCARB","22781-23-3"
"BENFLURALIN","1861-40-1"
"BENOMYL","17804-35-2"
"BENZ(A)ANTHRACENE","56-55-3"
"BENZAL CHLORIDE","98-87-3"
"BENZAMIDE","55-21-0"
"BENZENE","71-43-2"
"BENZENE-1,3-DIISOCYANATE","123-61-5"
"BENZIDINE","92-87-5"
"BENZO(A)PYRENE","50-32-8"
"BENZO(B)FLUORANTHENE","205-99-2"
"BENZO(GHI)PERYLENE","191-24-2"
