cartodb_id,the_geom,carcinogen,metal,clean_air_act_chemical,geoid11,geoid,doc_ctrl_num,unnamed_0_1,unnamed_0,serialid,parent_company_db_number,n_8_4_recycling_on_site,n_8_1b_on_site_other_releases,n_8_1a_on_site_contained_releases,n_6_2_m69,n_6_2_m40,n_6_2_m28,n_6_2_m20,n_6_2_m99,n_6_2_m73,n_6_2_m65,n_6_2_m67,n_6_2_m66,n_6_2_m63,n_6_2_m82,n_6_2_m81,n_6_2_m71,n_6_2_m62,n_6_2_m41,n_6_2_m10,n_5_5_3b_other_surface_impoundment,n_5_5_3a_rcra_c_surface_impoundment,n_5_5_2_land_treatment,n_5_5_1a_rcra_c_landfills,n_5_4_2_underground_class_ii_v,n_5_4_1_underground_class_i,metal_category,primary_naics,sic_6,sic_5,sic_4,sic_3,sic_2,primary_sic,zip,year,field_1,parent_company_name,unit_of_measure,form_type,classification,cas_compound_id,chemical,naics_6,naics_5,naics_4,naics_3,naics_2,st,county,city,street_address,facility_name,tri_facility_id,longitude_y,latitude_y,n_8_9_production_ratio,n_8_8_one_time_release,production_waste_8_1_thru_8_7,n_8_7_treatement_off_site,n_8_6_treatment_on_site,n_8_5_recycling_off_site,n_8_3_energy_recovery_off_site,n_8_2_energy_recovery_on_site,n_8_1d_off_site_other_releases,n_8_1c_off_site_contained_releases,n_8_1_releases,total_releases,off_site_treated_total,n_6_2_m95,n_6_2_m61,n_6_2_m54,n_6_2_m50,off_site_recovery_total,n_6_2_m92,n_6_2_m56,off_site_recycled_total,n_6_2_m93,n_6_2_m26,n_6_2_m24,off_site_release_total,n_6_2_m94,n_6_2_m90,n_6_2_m79,n_6_2_m64,n_6_2_m72,n_6_1_potw_total_transfers,n_6_1_potw_non_metals,n_6_1_potw_metals_and_metal_compounds,on_site_release_total,n_5_5_4_other_disposal,n_5_5_3_surface_impoundment,n_5_5_1b_other_landfills,n_5_3_water,n_5_2_stack_air,n_5_1_fugitive_air,longitude_x,latitude_x
41,0101000020E6100000A69BC420B00653C0D844662E70C74540,false,false,true,36075020302,360750203021000,1300140164880,40,14,41,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322121,,,,,,2621,13142,2000,40,,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,OSWEGO,PULASKI,179 COUNTY RT 2A,FELIX SCHOELLER TECHNICAL PAPERS INC,13142SCHLLCENTE,-76.1045,43.558111,1.11,0,0.24,0,0,0,0,0,0,0,0.24,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0.21,0,0,0,0.033,0,0.03,0,0.003,0,0,-76.1045,43.558111
86,0101000020E6100000CB9D996038F152C09AED0A7DB0044640,false,false,true,36045060804,360450608046000,1300140340340,85,34,86,361370567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221119,,,,,,4931,13602,2000,85,BLACK RIVER ENERGY LLC,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,JEFFERSON,FORT DRUM,EUPHRATES RIVER VALLEY RD & ONEIDA AVE,BLACK RIVER GENERATION LLC,13603FRTDR2NDST,-75.769066,44.036636,0,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,-75.769066,44.036636
103,0101000020E61000003DBB7CEBC37D52C0DC0DA2B5A2C94440,false,false,true,36071010102,360710101021000,1300140315767,102,42,103,804405074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,12550,2000,102,DYNEGY INC,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,ORANGE,NEWBURGH,994 RIVER RD,DANSKAMMER GENERATING FACILITY,12550DNSKM594RI,-73.965083,41.575278,0,0,1.7,0,0,0,0,0,0,0,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,1.7,0,-73.965083,41.575278
143,0101000020E610000070B378B1307E52C01B2FDD24065D4440,false,false,true,36061004400,360610044005000,1300140455039,,,143,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,4961,4911,10009,2000,142,,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,NEW YORK,MANHATTAN,801 E 14 ST,CONSOLIDATED EDISON CO OF NEW YORK -EAST RIVER FACILITY,10009CNSLD801E1,-73.971722,40.72675,0.97,0,0.4128,0,0,0,0,0,0,0,0.4128,0.4128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4128,0,0,0,0,0.4128,0,-73.971722,40.72675
193,0101000020E61000005169C4CC3EC053C03561FBC9188B4540,false,false,true,36063021700,360630217005000,1300140758677,,,193,6908354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325181,,,2869,2819,2865,2812,14302,2000,192,OCCIDENTAL PETROLEUM CORP,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,NIAGARA,NIAGARA FALLS,4700 BUFFALO AVE,OCCIDENTAL CHEMICAL CORP NIAGARA PLANT,14302CCDNT4700B,-79.003833,43.086694,0,23700,11211.3,10.8,11200,0,0,0,0,0,0.5,0.7404,23679.7,0,0,23679.7,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0.47,0.00315,0.00315,0,0.2704,0,0,0,0.238,0.0324,0,-79.003833,43.086694
358,0101000020E61000002AABE97AA27E52C004E3E0D231A14440,false,false,true,36087010101,360870101011000,1300140264553,86,35,358,152912291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,10986,2000,357,MIRANT CORP,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,ROCKLAND,TOMKINS COVE,37 ELM ST,MIRANT LOVETT GENERATING STATION,10993LVTTGSAMSO,-73.978667,41.259333,1.14,0,0.1483,0,0,0,0,0,0,0,0.1483,0.1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1483,0,0,0,0,0.1483,0,-73.978667,41.259333
373,0101000020E6100000AB7823F3C87552C01D5A643BDF1F4540,false,false,true,36039080900,360390809002000,1300140606548,372,127,373,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327310,,,,,,3241,12414,2000,372,HOLCIM (US) INC,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,GREENE,CATSKILL,6446 RT 9W,HOLCIM (US) INC,12414NDPNDPOBOX,-73.84039,42.249,1.06,0,0.573,0,0,0,0,0,0,0,0.573,0.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573,0,0,0,0,0.573,0,-73.84039,42.249
407,0101000020E6100000CEE33098BF6852C06286C61341064540,false,false,true,36021001700,360210017002000,1300140374632,,,407,929785616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322121,,,,,,2621,12502,2000,406,SCHWEITZER-MAUDUIT INTERNATIONAL INC,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,COLUMBIA,ANCRAM,2424 RT 82,SCHWEITZER-MAUDUIT INTERNATIONAL INC,12502SCHWT2424R,-73.636694,42.048861,1.06,0,0.39,0,0,0.36,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0.36,0,0.36,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.02,0.01,0,-73.636694,42.048861
410,0101000020E61000005D70067FBF6752C020240B98C0A74540,false,false,true,36113070601,361130706011000,1300140422926,,,410,967342197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327310,,,,,,3241,12801,2000,409,LEHIGH HANSON,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,WARREN,GLENS FALLS,313 WARREN ST,LEHIGH NORTHEAST CEMENT CO - GLENS FALLS PLANT,12801GLNSF313LO,-73.621063,43.310565,0.95,0,1.4484,0,0,0,0,0,0,0,1.4484,1.4484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4484,0,0,0,0,1.4484,0,-73.621063,43.310565
425,0101000020E6100000A0DFF76F5E0D53C091D6187442884540,false,false,true,36067012900,360670129001000,1300140761824,,,425,133378939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,132041091,2000,424,SUEZ ENERGY GENERATION NA,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,ONONDAGA,SYRACUSE,56 INDUSTRIAL DR,SYRACUSE ENERGY CORP,13204FBRTK56IND,-76.208889,43.064528,0.51,0,0.2508,0,0,0,0,0,0,0,0.2508,0.2508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2508,0,0,0,0,0.2508,0,-76.208889,43.064528
