,community,primary_naics,industry,countPerComm,percentPerComm
0,0,221112,Fossil Fuel Electric Power Generation ,13,8.72483221477
1,0,325180,Other Basic Inorganic Chemical Manufacturing ,10,6.71140939597
2,0,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",7,4.69798657718
3,0,325199,All Other Basic Organic Chemical Manufacturing ,7,4.69798657718
4,0,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",5,3.35570469799
5,0,334413,Semiconductor and Related Device Manufacturing ,4,2.68456375839
6,0,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,4,2.68456375839
7,0,562112,Hazardous Waste Collection ,4,2.68456375839
8,0,339991,"Gasket, Packing, and Sealing Device Manufacturing ",4,2.68456375839
9,0,332431,Metal Can Manufacturing ,4,2.68456375839
10,0,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,3,2.01342281879
11,0,322121,Paper (except Newsprint) Mills ,3,2.01342281879
12,0,323111,Commercial Printing (except Screen and Books) ,3,2.01342281879
13,0,424690,Other Chemical and Allied Products Merchant Wholesalers ,3,2.01342281879
14,0,325510,Paint and Coating Manufacturing,3,2.01342281879
15,0,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,2,1.34228187919
16,0,327120,Clay Building Material and Refractories Manufacturing ,2,1.34228187919
17,0,327310,Cement Manufacturing,2,1.34228187919
18,0,332811,Metal Heat Treating ,2,1.34228187919
19,0,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ",2,1.34228187919
20,0,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,2,1.34228187919
21,0,333132,Oil and Gas Field Machinery and Equipment Manufacturing ,2,1.34228187919
22,0,327213,Glass Container Manufacturing ,2,1.34228187919
23,0,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,2,1.34228187919
24,0,334412,Bare Printed Circuit Board Manufacturing  ,2,1.34228187919
25,0,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",2,1.34228187919
26,0,311513,Cheese Manufacturing ,2,1.34228187919
27,0,327212,Other Pressed and Blown Glass and Glassware Manufacturing ,1,0.671140939597
28,0,311111,Dog and Cat Food Manufacturing ,1,0.671140939597
29,0,327211,Flat Glass Manufacturing ,1,0.671140939597
30,0,311119,Other Animal Food Manufacturing ,1,0.671140939597
31,0,326211,Tire Manufacturing (except Retreading) ,1,0.671140939597
32,0,311511,Fluid Milk Manufacturing ,1,0.671140939597
33,0,326199,All Other Plastics Product Manufacturing ,1,0.671140939597
34,0,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,1,0.671140939597
35,0,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing ",1,0.671140939597
36,0,311821,Cookie and Cracker Manufacturing ,1,0.671140939597
37,0,325130,Synthetic Dye and Pigment Manufacturing,1,0.671140939597
