,"community","primary_naics","industry","countPerComm","percentPerComm"
72,0,331410,"Nonferrous Metal (except Aluminum) Smelting and Refining ",1,0.67
73,0,327993,"Mineral Wool Manufacturing ",1,0.67
74,0,212399,"All Other Nonmetallic Mineral Mining ",1,0.67
105,1,335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing ",1,1.25
106,1,337215,"Showcase, Partition, Shelving, and Locker Manufacturing ",1,1.25
107,1,326220,"Rubber and Plastics Hoses and Belting Manufacturing",1,1.25
109,2,336112,"Light Truck and Utility Vehicle Manufacturing ",1,11.11
110,2,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",1,11.11
111,2,325991,"Custom Compounding of Purchased Resins ",1,11.11
124,3,322299,"All Other Converted Paper Product Manufacturing ",1,2.08
125,3,311513,"Cheese Manufacturing ",1,2.08
126,3,311511,"Fluid Milk Manufacturing ",1,2.08
188,4,424710,"Petroleum Bulk Stations and Terminals ",1,1.03
189,4,332410,"Power Boiler and Heat Exchanger Manufacturing",1,1.03
190,4,311942,"Spice and Extract Manufacturing ",1,1.03
192,5,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ",1,25.00
193,5,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",1,25.00
194,5,326199,"All Other Plastics Product Manufacturing ",1,25.00
