,community,primary_naics,industry,countPerComm,percentPerComm
0,0,221112,Fossil Fuel Electric Power Generation ,13,8.72483221477
1,0,325180,Other Basic Inorganic Chemical Manufacturing ,10,6.71140939597
2,0,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",7,4.69798657718
75,1,424710,Petroleum Bulk Stations and Terminals ,26,32.5
76,1,325211,Plastics Material and Resin Manufacturing ,5,6.25
77,1,493190,Other Warehousing and Storage,4,5.0
108,2,326199,All Other Plastics Product Manufacturing ,6,66.6666666667
109,2,336112,Light Truck and Utility Vehicle Manufacturing ,1,11.1111111111
110,2,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",1,11.1111111111
112,3,324121,Asphalt Paving Mixture and Block Manufacturing ,14,29.1666666667
113,3,221112,Fossil Fuel Electric Power Generation ,9,18.75
114,3,424710,Petroleum Bulk Stations and Terminals ,8,16.6666666667
127,4,327320,Ready-Mix Concrete Manufacturing,7,7.21649484536
128,4,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,6,6.18556701031
129,4,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",4,4.12371134021
191,5,332410,Power Boiler and Heat Exchanger Manufacturing,1,25.0
192,5,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ",1,25.0
193,5,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",1,25.0
