,naics3,indName,count,percent
0,325,Chemical Manufacturing,30,21.1267605634
1,332,Fabricated Metal Product Manufacturing,21,14.7887323944
2,334,Computer and Electronic Product Manufacturing,14,9.85915492958
3,221,Utilities ,13,9.15492957746
4,327,Nonmetallic Mineral Product Manufacturing,13,9.15492957746
5,331,Primary Metal Manufacturing,10,7.04225352113
6,311,Food Manufacturing,7,4.92957746479
7,333,Machinery Manufacturing,4,2.81690140845
8,323,Printing and Related Support Activities,4,2.81690140845
9,562,Waste Management and Remediation Services,4,2.81690140845
10,339,Miscellaneous Manufacturing,4,2.81690140845
11,326,Plastics and Rubber Products Manufacturing,3,2.11267605634
12,322,Paper Manufacturing,3,2.11267605634
13,335,"Electrical Equipment, Appliance, and Component Manufacturing",2,1.40845070423
14,336,Transportation Equipment Manufacturing,2,1.40845070423
15,424,"Merchant Wholesalers, Nondurable Goods ",2,1.40845070423
16,561,Administrative and Support Services,1,0.704225352113
17,337,Furniture and Related Product Manufacturing,1,0.704225352113
18,324,Petroleum and Coal Products Manufacturing,1,0.704225352113
19,312,Beverage and Tobacco Product Manufacturing,1,0.704225352113
20,423,"Merchant Wholesalers, Durable Goods ",1,0.704225352113
21,212,Mining (except Oil and Gas),1,0.704225352113
