,Facility,Degrees,Clustering Coefficient,Betweeness,Closeness,Eigenvector,primary_naics,parent_company_name
47,IBM CORP,236,0.264442841688,0.0606448182409,0.728712871287,0.0560006096062,334111,IBM CORP
46,IBM CORP,236,0.264442841688,0.0606448182409,0.728712871287,0.0560006096062,334413,IBM CORP
242,EASTMAN KODAK CO EASTMAN BUSINESS PARK,228,0.284218254888,0.0587865081172,0.717348927875,0.123391247381,325992,EASTMAN KODAK CO
197,NORLITE LLC,225,0.243293650794,0.106509704089,0.720156555773,0.211257158203,327992,TRADEBE ENVIRONMENTAL SERVICES LLC
30,ALCOA INC,193,0.332037996546,0.0510802778193,0.667876588022,0.0545403967911,331313,ALCOA INC
199,BUCKEYE TERMINALS LLC - RENSSELAER TERMINAL,188,0.399931732848,0.0468020286601,0.666666666667,0.19644217698,493190,BUCKEYE TERMINALS LLC
254,MPM SILICONES LLC,179,0.322453078903,0.0458872308001,0.653641207815,0.109819706443,325211,MOMENTIVE PERFORMANCE MATERIALS HOLDINGS LLC
4,INTERNATIONAL PAPER,178,0.336380371993,0.0421530308791,0.651327433628,0.0651826207514,322121,INTERNATIONAL PAPER CO
350,NORTHVILLE INDUSTRIES CORP - SETAUKET TERMINAL,167,0.437125748503,0.0299023697906,0.64,0.192471591801,424710,NIC HOLDING CORP
129,FINCH PAPER  LLC,164,0.378497680682,0.0326862123339,0.632302405498,0.0563844643178,322121,FINCH PAPER HOLDINGS
305,TONAWANDA COKE CORP,162,0.451192393221,0.0278018613835,0.634482758621,0.136322550329,324199,
295,BUCKEYE TERMINALS LLC - BROOKLYN TERMINAL,155,0.457729367407,0.0332790052021,0.627986348123,0.0814036897596,493190,BUCKEYE TERMINALS LLC
354,ROCKTENN - SOLVAY LLC,152,0.450679679331,0.028064985759,0.618487394958,0.0341560742943,322130,ROCK-TENN CO
238,CASTLE OIL PORT MORRIS INC,149,0.47569381462,0.0259912412485,0.61744966443,0.0476420803908,424710,CASTLE OIL CO
97,SCEPTER NEW YORK INC,148,0.366611509469,0.0343490772933,0.61744966443,0.0225580426659,331314,SCEPTER INC
181,REYNOLDS METALS CO ST LAWRENCE REDUCTION PLANT,138,0.472654183857,0.0228242541706,0.605263157895,0.065996573831,331313,ALCOA INC
321,BUCKEYE TERMINALS LLC - BRONX TERMINAL,136,0.496949891068,0.01874938995,0.60626029654,0.0712450430277,493190,BUCKEYE TERMINALS LLC
148,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,136,0.479738562092,0.0241925312179,0.593548387097,0.0426595528179,221112,RECYCLED ENERGY DEVELOPMENT LLC
42,NOVELIS CORP,133,0.400888585099,0.0342380157485,0.602291325696,0.020009494079,331315,NOVELIS CORP
227,HADCO (SANMINA) CORP - OWEGO DIV,133,0.353953064479,0.0337380580732,0.603278688525,0.0278136420347,334412,SANMINA CORP
