,Unnamed: 0,Facility,Degrees,Clustering Coefficient,Betweeness,Closeness,Eigenvector,tri_facility_id,primary_naics,parent_company_name,Community,industry
0,0,IBM CORP,236,0.264442841688,0.0606448182409,0.728712871287,0.0560006096062,12602BMCRPSOUTH,334111,IBM CORP,0,Electronic Computer Manufacturing 
1,1,IBM CORP,236,0.264442841688,0.0606448182409,0.728712871287,0.0560006096062,12533BM   EASTF,334413,IBM CORP,0,Semiconductor and Related Device Manufacturing 
2,2,EASTMAN KODAK CO EASTMAN BUSINESS PARK,228,0.284218254888,0.0587865081172,0.717348927875,0.123391247381,14652STMNK1669L,325992,EASTMAN KODAK CO,0,"Photographic Film, Paper, Plate, and Chemical Manufacturing "
3,3,NORLITE LLC,225,0.243293650794,0.106509704089,0.720156555773,0.211257158203,12047NRLTC628SO,327992,TRADEBE ENVIRONMENTAL SERVICES LLC,1,Ground or Treated Mineral and Earth Manufacturing 
4,4,ALCOA INC,193,0.332037996546,0.0510802778193,0.667876588022,0.0545403967911,13662LMNMCPARKA,331313,ALCOA INC,4,Alumina Refining and Primary Aluminum Production 
5,5,BUCKEYE TERMINALS LLC - RENSSELAER TERMINAL,188,0.399931732848,0.0468020286601,0.666666666667,0.19644217698,12144MRDHS367AM,493190,BUCKEYE TERMINALS LLC,1,Other Warehousing and Storage
6,6,MPM SILICONES LLC,179,0.322453078903,0.0458872308001,0.653641207815,0.109819706443,12188GNRLL260HU,325211,MOMENTIVE PERFORMANCE MATERIALS HOLDINGS LLC,0,Plastics Material and Resin Manufacturing 
7,7,INTERNATIONAL PAPER,178,0.336380371993,0.0421530308791,0.651327433628,0.0651826207514,12883NTRNTSHORE,322121,INTERNATIONAL PAPER CO,0,Paper (except Newsprint) Mills 
8,8,NORTHVILLE INDUSTRIES CORP - SETAUKET TERMINAL,167,0.437125748503,0.0299023697906,0.64,0.192471591801,11733NRTHV19TER,424710,NIC HOLDING CORP,1,Petroleum Bulk Stations and Terminals 
9,9,FINCH PAPER  LLC,164,0.378497680682,0.0326862123339,0.632302405498,0.0563844643178,12801FNCHP1GLEN,322121,FINCH PAPER HOLDINGS,0,Paper (except Newsprint) Mills 
