,nonReportChem,Community,Facility,primary_naics,industry,num_reporting
0,3-CHLORO-2-METHYL-1-PROPENE,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,1
1,3-CHLORO-2-METHYL-1-PROPENE,0,EVANS CHEMETICS LP,325199,All Other Basic Organic Chemical Manufacturing ,1
2,3-CHLORO-2-METHYL-1-PROPENE,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,1
3,3-CHLORO-2-METHYL-1-PROPENE,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
4,3-CHLORO-2-METHYL-1-PROPENE,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,1
5,3-CHLORO-2-METHYL-1-PROPENE,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
0,3-IODO-2-PROPYNYL BUTYLCARBAMATE,0,EVANS CHEMETICS LP,325199,All Other Basic Organic Chemical Manufacturing ,1
1,3-IODO-2-PROPYNYL BUTYLCARBAMATE,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,1
2,3-IODO-2-PROPYNYL BUTYLCARBAMATE,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,1
3,3-IODO-2-PROPYNYL BUTYLCARBAMATE,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
4,3-IODO-2-PROPYNYL BUTYLCARBAMATE,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,1
5,3-IODO-2-PROPYNYL BUTYLCARBAMATE,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
0,ACETALDEHYDE,0,FINCH PAPER  LLC,322121,Paper (except Newsprint) Mills ,1
1,ACETALDEHYDE,0,KNOWLTON TECHNOLOGIES LLC,322121,Paper (except Newsprint) Mills ,1
0,ACRYLONITRILE,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,1
1,ACRYLONITRILE,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,1
2,ACRYLONITRILE,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,1
3,ACRYLONITRILE,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
4,ACRYLONITRILE,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,1
5,ACRYLONITRILE,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
0,AMMONIA,0,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,221112,Fossil Fuel Electric Power Generation ,9
3,AMMONIA,0,SYRACUSE ENERGY CORP,221112,Fossil Fuel Electric Power Generation ,9
5,AMMONIA,0,HUNTLEY GENERATING STATION,221112,Fossil Fuel Electric Power Generation ,9
6,AMMONIA,0,DUNKIRK STEAM STATION,221112,Fossil Fuel Electric Power Generation ,9
2,AMMONIA,0,DU PONT NIAGARA FALLS PLANT,325180,Other Basic Inorganic Chemical Manufacturing ,4
9,AMMONIA,0,OLIN CORP,325180,Other Basic Inorganic Chemical Manufacturing ,4
10,AMMONIA,0,EVONIK INDUSTRIES,325180,Other Basic Inorganic Chemical Manufacturing ,4
12,AMMONIA,0,OCCIDENTAL CHEMICAL CORP NIAGARA PLANT,325180,Other Basic Inorganic Chemical Manufacturing ,4
14,AMMONIA,0,THATCHER CO OF NEW YORK,325180,Other Basic Inorganic Chemical Manufacturing ,4
22,AMMONIA,0,VANCHLOR CO INC,325180,Other Basic Inorganic Chemical Manufacturing ,4
8,AMMONIA,0,ELECTRONIC DEVICES INC,334413,Semiconductor and Related Device Manufacturing ,2
11,AMMONIA,0,KNOWLTON TECHNOLOGIES LLC,322121,Paper (except Newsprint) Mills ,2
20,AMMONIA,0,TRUESENSE IMAGING INC,334413,Semiconductor and Related Device Manufacturing ,2
1,AMMONIA,0,I3 ELECTRONICS INC,334412,Bare Printed Circuit Board Manufacturing  ,1
4,AMMONIA,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,1
7,AMMONIA,0,LEHIGH NORTHEAST CEMENT CO - GLENS FALLS PLANT,327310,Cement Manufacturing,1
13,AMMONIA,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,1
15,AMMONIA,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,1
16,AMMONIA,0,HOOSIER MAGNETICS INC,332811,Metal Heat Treating ,1
17,AMMONIA,0,GERMANIUM CORP OF AMERICA,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,1
18,AMMONIA,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
19,AMMONIA,0,FINGER LAKES CHEMICAL INC,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,1
21,AMMONIA,0,R H CROWN CO INC,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,1
23,AMMONIA,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,1
24,AMMONIA,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
0,ANILINE,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,2
1,ANILINE,0,EVANS CHEMETICS LP,325199,All Other Basic Organic Chemical Manufacturing ,2
2,ANILINE,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,2
3,ANILINE,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,2
4,ANILINE,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,2
0,ANTIMONY,0,ROCHESTER SILVER WORKS LLC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
1,ANTIMONY,0,AMES GOLDSMITH CORP,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
2,ANTIMONY,0,MATERION ADVANCED MATERIALS TECHNOLOGIES & SERVICES INC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
3,ANTIMONY,0,ALLVAC - LOCKPORT PLANT,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
0,ANTIMONY COMPOUNDS,0,ROCHESTER SILVER WORKS LLC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
1,ANTIMONY COMPOUNDS,0,AMES GOLDSMITH CORP,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
2,ANTIMONY COMPOUNDS,0,MATERION ADVANCED MATERIALS TECHNOLOGIES & SERVICES INC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
3,ANTIMONY COMPOUNDS,0,ALLVAC - LOCKPORT PLANT,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
0,ARSENIC,0,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,221112,Fossil Fuel Electric Power Generation ,1
1,ARSENIC,0,CAYUGA OPERATING CO LLC,221112,Fossil Fuel Electric Power Generation ,1
2,ARSENIC,0,ROCHESTER SILVER WORKS LLC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
3,ARSENIC,0,SYRACUSE ENERGY CORP,221112,Fossil Fuel Electric Power Generation ,1
4,ARSENIC,0,HUNTLEY GENERATING STATION,221112,Fossil Fuel Electric Power Generation ,1
5,ARSENIC,0,DUNKIRK STEAM STATION,221112,Fossil Fuel Electric Power Generation ,1
6,ARSENIC,0,AMES GOLDSMITH CORP,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
7,ARSENIC,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
8,ARSENIC,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
9,ARSENIC,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
10,ARSENIC,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
11,ARSENIC,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,1
12,ARSENIC,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
13,ARSENIC,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,1
14,ARSENIC,0,MATERION ADVANCED MATERIALS TECHNOLOGIES & SERVICES INC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
15,ARSENIC,0,ALLVAC - LOCKPORT PLANT,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
0,ARSENIC COMPOUNDS,0,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,221112,Fossil Fuel Electric Power Generation ,1
1,ARSENIC COMPOUNDS,0,CAYUGA OPERATING CO LLC,221112,Fossil Fuel Electric Power Generation ,1
2,ARSENIC COMPOUNDS,0,ROCHESTER SILVER WORKS LLC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
3,ARSENIC COMPOUNDS,0,SYRACUSE ENERGY CORP,221112,Fossil Fuel Electric Power Generation ,1
4,ARSENIC COMPOUNDS,0,HUNTLEY GENERATING STATION,221112,Fossil Fuel Electric Power Generation ,1
5,ARSENIC COMPOUNDS,0,DUNKIRK STEAM STATION,221112,Fossil Fuel Electric Power Generation ,1
6,ARSENIC COMPOUNDS,0,AMES GOLDSMITH CORP,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
7,ARSENIC COMPOUNDS,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
8,ARSENIC COMPOUNDS,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
9,ARSENIC COMPOUNDS,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
10,ARSENIC COMPOUNDS,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
11,ARSENIC COMPOUNDS,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,1
12,ARSENIC COMPOUNDS,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
13,ARSENIC COMPOUNDS,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,1
14,ARSENIC COMPOUNDS,0,MATERION ADVANCED MATERIALS TECHNOLOGIES & SERVICES INC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
15,ARSENIC COMPOUNDS,0,ALLVAC - LOCKPORT PLANT,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
3,BARIUM,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
4,BARIUM,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
6,BARIUM,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
7,BARIUM,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
8,BARIUM,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,6
9,BARIUM,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
10,BARIUM,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,6
0,BARIUM,0,PEROXYCHEM LLC,325180,Other Basic Inorganic Chemical Manufacturing ,1
1,BARIUM,0,PVS CHEMICAL SOLUTIONS,325180,Other Basic Inorganic Chemical Manufacturing ,1
2,BARIUM,0,CHEMTRADE SOLUTIONS - SYRACUSE,325180,Other Basic Inorganic Chemical Manufacturing ,1
5,BARIUM,0,SAINT GOBAIN CORP ADVA NCED CERAMICS,325180,Other Basic Inorganic Chemical Manufacturing ,1
11,BARIUM,0,OLIN CORP,325180,Other Basic Inorganic Chemical Manufacturing ,1
12,BARIUM,0,EVONIK INDUSTRIES,325180,Other Basic Inorganic Chemical Manufacturing ,1
13,BARIUM,0,OCCIDENTAL CHEMICAL CORP NIAGARA PLANT,325180,Other Basic Inorganic Chemical Manufacturing ,1
14,BARIUM,0,THATCHER CO OF NEW YORK,325180,Other Basic Inorganic Chemical Manufacturing ,1
15,BARIUM,0,VANCHLOR CO INC,325180,Other Basic Inorganic Chemical Manufacturing ,1
3,BARIUM COMPOUNDS,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
4,BARIUM COMPOUNDS,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
6,BARIUM COMPOUNDS,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
7,BARIUM COMPOUNDS,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
8,BARIUM COMPOUNDS,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,6
9,BARIUM COMPOUNDS,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
10,BARIUM COMPOUNDS,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,6
0,BARIUM COMPOUNDS,0,PEROXYCHEM LLC,325180,Other Basic Inorganic Chemical Manufacturing ,1
1,BARIUM COMPOUNDS,0,PVS CHEMICAL SOLUTIONS,325180,Other Basic Inorganic Chemical Manufacturing ,1
2,BARIUM COMPOUNDS,0,CHEMTRADE SOLUTIONS - SYRACUSE,325180,Other Basic Inorganic Chemical Manufacturing ,1
5,BARIUM COMPOUNDS,0,SAINT GOBAIN CORP ADVA NCED CERAMICS,325180,Other Basic Inorganic Chemical Manufacturing ,1
11,BARIUM COMPOUNDS,0,OLIN CORP,325180,Other Basic Inorganic Chemical Manufacturing ,1
12,BARIUM COMPOUNDS,0,EVONIK INDUSTRIES,325180,Other Basic Inorganic Chemical Manufacturing ,1
13,BARIUM COMPOUNDS,0,OCCIDENTAL CHEMICAL CORP NIAGARA PLANT,325180,Other Basic Inorganic Chemical Manufacturing ,1
14,BARIUM COMPOUNDS,0,THATCHER CO OF NEW YORK,325180,Other Basic Inorganic Chemical Manufacturing ,1
15,BARIUM COMPOUNDS,0,VANCHLOR CO INC,325180,Other Basic Inorganic Chemical Manufacturing ,1
0,BUTYL ACRYLATE,0,PPG INDUSTRIES INC,325510,Paint and Coating Manufacturing,1
1,BUTYL ACRYLATE,0,KEMPER SYSTEM AMERICA INC,325510,Paint and Coating Manufacturing,1
0,CERTAIN GLYCOL ETHERS,0,AMSTERDAM PRINTING & LITHO,323111,Commercial Printing (except Screen and Books) ,2
1,CERTAIN GLYCOL ETHERS,0,KEMPER SYSTEM AMERICA INC,325510,Paint and Coating Manufacturing,2
1,CHLORINE,0,PEROXYCHEM LLC,325180,Other Basic Inorganic Chemical Manufacturing ,5
5,CHLORINE,0,PVS CHEMICAL SOLUTIONS,325180,Other Basic Inorganic Chemical Manufacturing ,5
7,CHLORINE,0,CHEMTRADE SOLUTIONS - SYRACUSE,325180,Other Basic Inorganic Chemical Manufacturing ,5
8,CHLORINE,0,SAINT GOBAIN CORP ADVA NCED CERAMICS,325180,Other Basic Inorganic Chemical Manufacturing ,5
11,CHLORINE,0,THATCHER CO OF NEW YORK,325180,Other Basic Inorganic Chemical Manufacturing ,5
9,CHLORINE,0,KNOWLTON TECHNOLOGIES LLC,322121,Paper (except Newsprint) Mills ,2
13,CHLORINE,0,UNIVAR USA INC - GENEVA BRANCH,424690,Other Chemical and Allied Products Merchant Wholesalers ,2
0,CHLORINE,0,ANOPLATE CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
2,CHLORINE,0,EVANS CHEMETICS LP,325199,All Other Basic Organic Chemical Manufacturing ,1
3,CHLORINE,0,"ASTRO ELECTROPLATING,INC",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
4,CHLORINE,0,PRECIOUS PLATE INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
6,CHLORINE,0,GENERAL SUPER PLATING CO,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
10,CHLORINE,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,1
12,CHLORINE,0,TRIPLE CITIES METAL FINISHING CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
14,CHLORINE,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,1
15,CHLORINE,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
16,CHLORINE,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,1
17,CHLORINE,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
18,CHLORINE,0,HARTCHROM INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
0,CHLORINE DIOXIDE,0,KNOWLTON TECHNOLOGIES LLC,322121,Paper (except Newsprint) Mills ,2
0,CHLOROACETIC ACID,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,2
1,CHLOROACETIC ACID,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,2
2,CHLOROACETIC ACID,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,2
3,CHLOROACETIC ACID,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,2
4,CHLOROACETIC ACID,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,2
2,CHROMIUM,0,ANOPLATE CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
